order_id,order_date,region,quantity,unit_price,amount
ORD-46201,6/6/2025,North,2,160.36,320.72
ORD-46202,6/7/2025,North,5,110.06,550.30
ORD-46203,6/8/2025,West,9,378.79,3409.11
ORD-46204,6/8/2025,West,1,19.01,19.01
ORD-46205,6/9/2025,West,9,229.71,2067.39
ORD-46206,6/9/2025,East,3,373.76,1121.28
ORD-46207,6/11/2025,North,2,445.83,891.66
ORD-46208,6/12/2025,North,8,348.18,2785.44
ORD-46209,6/12/2025,East,5,66.05,330.25
ORD-46210,6/14/2025,South,7,427.28,2990.96
ORD-46211,6/14/2025,North,5,199.82,999.10
ORD-46212,6/15/2025,East,8,99.08,792.64
ORD-46213,6/15/2025,West,3,378.06,1134.18
ORD-46214,6/15/2025,East,5,162.11,810.55
ORD-46215,6/15/2025,West,2,188.73,377.46
ORD-46216,6/17/2025,South,8,374.31,2994.48
ORD-46217,6/17/2025,East,1,220.02,220.02
ORD-46218,6/17/2025,East,9,250.37,2253.33
ORD-46219,6/18/2025,North,3,374.23,1122.69
ORD-46220,6/19/2025,North,4,116.92,467.68
ORD-46221,6/19/2025,West,4,121.55,486.20
ORD-46222,6/20/2025,East,6,183.93,1103.58
ORD-46223,6/21/2025,East,5,148.13,740.65
ORD-46224,6/21/2025,North,5,387.26,1936.30
ORD-46225,6/22/2025,East,3,135.31,405.93
ORD-46226,6/23/2025,South,1,80.40,80.40
ORD-46227,6/25/2025,North,2,32.23,64.46
ORD-46228,6/27/2025,North,1,207.15,207.15
ORD-46229,6/27/2025,North,3,324.36,973.08
ORD-46230,6/28/2025,West,6,352.02,2112.12
ORD-46231,7/1/2025,South,2,437.75,875.50
ORD-46232,7/1/2025,South,9,28.05,252.45
ORD-46233,7/1/2025,North,8,45.98,367.84
ORD-46234,7/3/2025,North,5,123.75,618.75
ORD-46235,7/3/2025,East,5,107.16,535.80
ORD-46236,7/3/2025,South,1,378.72,378.72
ORD-46237,7/4/2025,South,4,192.00,768.00
ORD-46231,7/1/2025,South,2,437.75,875.50
ORD-46238,7/4/2025,West,7,124.05,868.35
ORD-46239,7/5/2025,West,2,482.00,964.00
ORD-46240,7/5/2025,East,10,179.53,1795.30
ORD-46234,7/3/2025,North,5,123.75,618.75
ORD-46241,7/5/2025,West,2,280.42,560.84
ORD-46242,7/6/2025,East,6,118.63,711.78
ORD-46239,7/5/2025,West,2,482.00,964.00
ORD-46243,7/7/2025,East,6,303.58,1821.48
ORD-46244,7/8/2025,West,6,278.62,1671.72
ORD-46245,7/8/2025,East,8,372.82,2982.56
ORD-46246,7/9/2025,West,1,296.95,296.95
ORD-46247,7/11/2025,South,3,377.75,1133.25
ORD-46248,7/11/2025,East,8,186.56,1492.48
ORD-46249,7/12/2025,North,8,120.00,960.00
ORD-46247,7/11/2025,South,3,377.75,1133.25
ORD-46250,7/12/2025,West,1,46.91,46.91
ORD-46249,7/12/2025,North,8,120.00,960.00
ORD-46251,7/14/2025,East,7,307.11,2149.77
ORD-46252,7/14/2025,East,1,181.29,181.29
ORD-46253,7/16/2025,South,9,239.75,2157.75
ORD-46254,7/17/2025,West,1,404.17,404.17
ORD-46255,7/18/2025,North,1,273.31,273.31
ORD-46256,7/18/2025,North,10,216.76,2167.60
ORD-46257,7/19/2025,North,9,142.93,1286.37
ORD-46258,7/20/2025,North,5,144.50,722.50
ORD-46259,7/20/2025,North,10,199.20,1992.00
ORD-46260,7/20/2025,West,2,447.56,895.12
ORD-46258,7/20/2025,North,5,144.50,722.50
ORD-46261,7/21/2025,North,8,121.34,970.72
ORD-46262,7/21/2025,West,2,211.87,423.74
ORD-46263,7/24/2025,West,4,310.00,1240.00
ORD-46264,7/24/2025,West,7,227.06,1589.42
ORD-46265,7/25/2025,East,4,371.50,1486.00
ORD-46266,7/26/2025,North,2,139.84,279.68
ORD-46267,7/27/2025,West,7,306.81,2147.67
ORD-46268,7/27/2025,West,7,367.49,2572.43
ORD-46263,7/24/2025,West,4,310.00,1240.00
ORD-46269,7/27/2025,West,5,249.87,1249.35
ORD-46270,7/28/2025,North,4,132.11,528.44
ORD-46271,7/28/2025,West,3,313.91,941.73
ORD-46265,7/25/2025,East,4,371.50,1486.00
ORD-46272,7/28/2025,West,7,341.18,2388.26
ORD-46273,8/1/2025,East,6,385.52,2313.12
ORD-46274,8/3/2025,East,6,166.74,1000.44
ORD-46275,8/3/2025,South,1,22.17,22.17
ORD-46276,8/6/2025,North,7,59.15,414.05
ORD-46277,8/6/2025,South,10,188.45,1884.50
ORD-46278,8/6/2025,East,10,110.26,1102.60
ORD-46279,8/6/2025,East,2,102.60,205.20
ORD-46280,8/7/2025,East,7,418.55,2929.85
ORD-46281,8/8/2025,North,4,50.47,201.88
ORD-46282,8/8/2025,West,5,113.68,568.40
ORD-46283,8/10/2025,East,7,318.57,2229.99
ORD-46284,8/10/2025,East,1,379.10,379.10
ORD-46285,8/11/2025,East,3,151.82,455.46
ORD-46286,8/11/2025,South,8,431.44,3451.52
ORD-46287,8/12/2025,South,7,245.93,1721.51
ORD-46288,8/13/2025,West,1,64.24,64.24
ORD-46289,8/13/2025,West,10,180.62,1806.20
ORD-46290,8/13/2025,East,6,417.90,2507.40
ORD-46291,8/14/2025,West,8,37.79,302.32
ORD-46292,8/14/2025,West,1,138.82,138.82
ORD-46293,8/17/2025,North,7,157.97,1105.79
ORD-46294,8/18/2025,East,8,383.83,3070.64
ORD-46295,8/18/2025,South,4,35.84,143.36
ORD-46296,8/18/2025,North,1,386.55,386.55
ORD-46297,8/19/2025,South,10,55.70,557.00
ORD-46298,8/19/2025,West,3,236.22,708.66
ORD-46299,8/19/2025,West,2,257.27,514.54
ORD-46300,8/19/2025,West,3,45.50,136.50
ORD-46301,8/19/2025,South,7,244.49,1711.43
ORD-46302,8/20/2025,West,9,303.53,2731.77
ORD-46303,8/22/2025,West,3,356.33,1068.99
ORD-46304,8/22/2025,East,4,180.80,723.20
ORD-46305,8/24/2025,East,1,17.69,17.69
ORD-46306,8/25/2025,East,2,445.49,890.98
ORD-46307,8/26/2025,South,7,349.78,2448.46
ORD-46308,8/26/2025,West,4,239.63,958.52
ORD-46309,8/26/2025,South,9,226.93,2042.37
ORD-46310,8/27/2025,North,6,164.13,984.78
ORD-46311,9/1/2025,West,10,17.50,175.00
ORD-46312,9/1/2025,West,8,182.55,1460.40
ORD-46313,9/4/2025,South,9,99.35,894.15
ORD-46314,9/4/2025,East,5,360.12,1800.60
ORD-46315,9/5/2025,West,5,438.52,2192.60
ORD-46316,9/5/2025,East,8,330.13,2641.04
ORD-46317,9/5/2025,South,1,398.05,398.05
ORD-46318,9/5/2025,North,3,201.88,605.64
ORD-46319,9/7/2025,West,3,358.13,1074.39
ORD-46320,9/7/2025,North,6,16.81,100.86
ORD-46321,9/8/2025,West,7,447.72,3134.04
ORD-46322,9/8/2025,North,5,107.15,535.75
ORD-46323,9/8/2025,West,1,229.59,229.59
ORD-46324,9/9/2025,West,10,117.54,1175.40
ORD-46325,9/9/2025,North,4,105.97,423.88
ORD-46326,9/9/2025,North,8,113.20,905.60
ORD-46327,9/9/2025,East,1,99.18,99.18
ORD-46328,9/10/2025,North,2,437.99,875.98
ORD-46329,9/12/2025,East,3,297.87,893.61
ORD-46330,9/12/2025,West,5,149.78,748.90
ORD-46331,9/12/2025,South,3,310.46,931.38
ORD-46332,9/15/2025,East,7,123.96,867.72
ORD-46333,9/17/2025,North,10,413.57,4135.70
ORD-46334,9/18/2025,North,8,385.45,3083.60
ORD-46335,9/18/2025,East,1,113.95,113.95
ORD-46336,9/19/2025,North,10,381.00,3810.00
ORD-46337,9/20/2025,West,5,42.63,213.15
ORD-46338,9/22/2025,East,8,305.55,2444.40
ORD-46339,9/23/2025,North,9,173.09,1557.81
ORD-46340,9/23/2025,West,1,388.91,388.91
ORD-46341,9/24/2025,West,5,394.73,1973.65
ORD-46342,9/24/2025,East,5,245.59,1227.95
ORD-46343,9/24/2025,West,5,303.42,1517.10
ORD-46344,9/25/2025,West,7,343.57,2404.99
ORD-46345,9/27/2025,West,1,165.03,165.03
ORD-46346,10/1/2025,North,10,447.20,4472.00
ORD-46347,10/1/2025,North,10,39.52,395.20
ORD-46348,10/1/2025,South,2,105.95,211.90
ORD-46349,10/2/2025,North,9,114.61,1031.49
ORD-46350,10/4/2025,North,6,62.59,375.54
ORD-46351,10/5/2025,South,10,298.74,2987.40
ORD-46352,10/7/2025,North,2,360.78,721.56
ORD-46353,10/7/2025,North,9,231.85,2086.65
ORD-46354,10/7/2025,South,5,110.24,551.20
ORD-46355,10/7/2025,North,2,109.09,218.18
ORD-46356,10/8/2025,East,4,360.98,1443.92
ORD-46357,10/13/2025,North,9,321.92,2897.28
ORD-46358,10/13/2025,East,7,439.73,3078.11
ORD-46359,10/13/2025,East,6,150.54,903.24
ORD-46360,10/13/2025,North,8,40.20,321.60
ORD-46361,10/16/2025,East,7,271.63,1901.41
ORD-46362,10/16/2025,West,3,311.53,934.59
ORD-46363,10/17/2025,North,9,93.46,841.14
ORD-46364,10/17/2025,South,9,122.76,1104.84
ORD-46365,10/18/2025,South,5,113.20,566.00
ORD-46366,10/18/2025,North,6,392.86,2357.16
ORD-46367,10/18/2025,East,7,365.42,2557.94
ORD-46368,10/18/2025,South,1,350.51,350.51
ORD-46369,10/19/2025,South,6,369.72,2218.32
ORD-46370,10/19/2025,North,7,123.86,867.02
ORD-46371,10/19/2025,West,4,226.31,905.24
ORD-46372,10/21/2025,North,2,262.93,525.86
ORD-46373,10/22/2025,North,7,151.97,1063.79
ORD-46374,10/22/2025,North,2,48.47,96.94
ORD-46375,10/22/2025,East,3,185.61,556.83
ORD-46376,10/23/2025,South,4,301.55,1206.20
ORD-46377,10/25/2025,East,8,418.41,3347.28
ORD-46378,10/26/2025,West,6,119.81,718.86
ORD-46379,10/27/2025,North,5,186.96,934.80
ORD-46380,11/1/2025,South,5,105.98,529.90
ORD-46381,11/1/2025,West,2,77.45,154.90
ORD-46382,11/2/2025,North,3,159.99,479.97
ORD-46383,11/3/2025,South,7,247.25,1730.75
ORD-46384,11/3/2025,South,7,318.85,2231.95
ORD-46385,11/3/2025,West,7,53.68,375.76
ORD-46386,11/4/2025,North,7,162.23,1135.61
ORD-46387,11/4/2025,South,8,364.69,2917.52
ORD-46388,11/6/2025,East,3,40.00,12000.00
ORD-46389,11/6/2025,South,5,206.69,1033.45
ORD-46390,11/7/2025,South,4,76.63,306.52
ORD-46391,11/8/2025,South,8,174.53,1396.24
ORD-46392,11/8/2025,West,4,278.49,1113.96
ORD-46393,11/9/2025,East,10,103.78,1037.80
ORD-46394,11/9/2025,East,1,145.06,145.06
ORD-46395,11/10/2025,South,10,156.31,1563.10
ORD-46396,11/10/2025,South,1,329.56,329.56
ORD-46397,11/12/2025,South,7,336.54,2355.78
ORD-46398,11/13/2025,South,6,68.77,412.62
ORD-46399,11/13/2025,North,7,49.29,345.03
ORD-46400,11/14/2025,South,6,304.07,1824.42
ORD-46401,11/15/2025,North,2,297.22,594.44
ORD-46402,11/17/2025,South,7,212.34,1486.38
ORD-46403,11/17/2025,North,5,332.43,1662.15
ORD-46404,11/18/2025,East,8,320.17,2561.36
ORD-46405,11/18/2025,South,6,383.45,2300.70
ORD-46406,11/18/2025,North,3,63.38,190.14
ORD-46407,11/18/2025,South,7,184.62,1292.34
ORD-46408,11/18/2025,East,9,364.42,3279.78
ORD-46409,11/21/2025,South,10,436.69,4366.90
ORD-46410,11/22/2025,North,7,43.21,302.47
ORD-46411,11/23/2025,North,7,359.05,2513.35
ORD-46412,11/23/2025,South,8,354.16,2833.28
ORD-46413,11/24/2025,South,1,271.47,271.47
ORD-46414,11/26/2025,East,2,348.15,696.30
ORD-46415,11/26/2025,East,1,17.18,17.18
ORD-46416,11/27/2025,North,3,130.62,391.86
ORD-46417,12/1/2025,West,8,106.98,855.84
ORD-46418,12/1/2025,West,1,448.34,448.34
ORD-46419,12/1/2025,West,1,243.16,243.16
ORD-46420,12/3/2025,North,9,355.28,3197.52
ORD-46421,12/3/2025,East,9,87.65,788.85
ORD-46422,12/5/2025,North,2,239.78,479.56
ORD-46423,12/6/2025,South,5,89.09,445.45
ORD-46424,12/7/2025,East,10,396.16,3961.60
ORD-46425,12/7/2025,North,4,425.99,1703.96
ORD-46426,12/7/2025,West,8,293.36,2346.88
ORD-46427,12/8/2025,West,4,80.11,320.44
ORD-46428,12/8/2025,South,9,87.91,791.19
ORD-46429,12/9/2025,East,6,447.68,2686.08
ORD-46430,12/10/2025,South,7,203.86,1427.02
ORD-46431,12/10/2025,East,4,137.15,548.60
ORD-46432,12/11/2025,North,5,322.57,1612.85
ORD-46433,12/13/2025,North,4,69.75,279.00
ORD-46434,12/13/2025,North,9,255.57,2300.13
ORD-46435,12/13/2025,East,10,81.75,817.50
ORD-46436,12/14/2025,North,7,354.42,2480.94
ORD-46437,12/15/2025,South,3,56.53,169.59
ORD-46438,12/15/2025,West,7,268.78,1881.46
ORD-46439,12/15/2025,South,10,371.59,3715.90
ORD-46440,12/16/2025,North,3,410.06,1230.18
ORD-46441,12/17/2025,South,4,397.94,1591.76
ORD-46442,12/17/2025,North,5,75.64,378.20
ORD-46443,12/18/2025,South,5,54.07,270.35
ORD-46444,12/18/2025,South,5,288.54,1442.70
ORD-46445,12/18/2025,South,9,222.08,1998.72
ORD-46446,12/19/2025,West,2,77.69,155.38
ORD-46447,12/19/2025,West,2,404.88,809.76
ORD-46448,12/19/2025,West,4,168.49,673.96
ORD-46449,12/20/2025,West,5,443.83,2219.15
ORD-46450,12/24/2025,South,6,221.33,1327.98
